#Measurements of the CMB-only TT power spectrum, power is l(l+1) C_l / 2pi in uK^2
#
   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
Planck binned      ,          ,    1094.6 ,           ,    1211.0186 ,       9.1128 ,       9.1128 ,             
Planck binned      ,          ,    1124.6 ,           ,    1231.8722 ,       9.2605 ,       9.2605 ,             
Planck binned      ,          ,    1154.6 ,           ,    1205.7805 ,       8.9853 ,       8.9853 ,             
Planck binned      ,          ,    1184.6 ,           ,    1117.9266 ,       8.3317 ,       8.3317 ,             
Planck binned      ,          ,    1214.6 ,           ,     968.4222 ,       7.5451 ,       7.5451 ,             
Planck binned      ,          ,    1244.6 ,           ,     864.3979 ,       6.6432 ,       6.6432 ,             
Planck binned      ,          ,    1274.6 ,           ,     761.6060 ,       5.9859 ,       5.9859 ,             
Planck binned      ,          ,    1304.6 ,           ,     732.3397 ,       5.6867 ,       5.6867 ,             
Planck binned      ,          ,    1334.6 ,           ,     737.2903 ,       5.7180 ,       5.7180 ,             
Planck binned      ,          ,    1364.6 ,           ,     774.9258 ,       5.9409 ,       5.9409 ,             
Planck binned      ,          ,    1394.6 ,           ,     806.6254 ,       6.1724 ,       6.1724 ,             
Planck binned      ,          ,    1424.6 ,           ,     809.0571 ,       6.2563 ,       6.2563 ,             
Planck binned      ,          ,    1454.6 ,           ,     777.7511 ,       6.1114 ,       6.1114 ,             
Planck binned      ,          ,    1484.6 ,           ,     728.9436 ,       5.7454 ,       5.7454 ,             
Planck binned      ,          ,    1514.6 ,           ,     648.2886 ,       5.2426 ,       5.2426 ,             
Planck binned      ,          ,    1544.6 ,           ,     551.2861 ,       4.7239 ,       4.7239 ,             
Planck binned      ,          ,    1574.6 ,           ,     476.6010 ,       4.3008 ,       4.3008 ,             
Planck binned      ,          ,    1604.6 ,           ,     419.5413 ,       4.0444 ,       4.0444 ,             
Planck binned      ,          ,    1634.6 ,           ,     395.2115 ,       3.9683 ,       3.9683 ,             
Planck binned      ,          ,    1664.6 ,           ,     391.6578 ,       4.0342 ,       4.0342 ,             
Planck binned      ,          ,    1694.6 ,           ,     392.9475 ,       4.1736 ,       4.1736 ,             
Planck binned      ,          ,    1724.6 ,           ,     397.7358 ,       4.3167 ,       4.3167 ,             
Planck binned      ,          ,    1754.6 ,           ,     383.0117 ,       4.4159 ,       4.4159 ,             
Planck binned      ,          ,    1784.6 ,           ,     375.3911 ,       4.4573 ,       4.4573 ,             
Planck binned      ,          ,    1814.6 ,           ,     340.1395 ,       4.4589 ,       4.4589 ,             
Planck binned      ,          ,    1844.6 ,           ,     307.5393 ,       4.4575 ,       4.4575 ,             
Planck binned      ,          ,    1874.6 ,           ,     273.8595 ,       4.4935 ,       4.4935 ,             
Planck binned      ,          ,    1904.6 ,           ,     249.8469 ,       4.5965 ,       4.5965 ,             
Planck binned      ,          ,    1934.6 ,           ,     244.2463 ,       4.7776 ,       4.7776 ,             
Planck binned      ,          ,    1964.6 ,           ,     231.9131 ,       5.0287 ,       5.0287 ,             
Planck binned      ,          ,    1994.6 ,           ,     234.6590 ,       5.4284 ,       5.4284 ,             
Planck binned      ,          ,    2024.6 ,           ,     231.7449 ,       5.8688 ,       5.8688 ,             
Planck binned      ,          ,    2054.6 ,           ,     219.6601 ,       6.2002 ,       6.2002 ,             
Planck binned      ,          ,    2084.6 ,           ,     214.2527 ,       6.5332 ,       6.5332 ,             
Planck binned      ,          ,    2114.6 ,           ,     196.7167 ,       6.8739 ,       6.8739 ,             
Planck binned      ,          ,    2144.6 ,           ,     176.4313 ,       7.2379 ,       7.2379 ,             
Planck binned      ,          ,    2174.6 ,           ,     152.2271 ,       7.6442 ,       7.6442 ,             
Planck binned      ,          ,    2204.6 ,           ,     138.6711 ,       8.1097 ,       8.1097 ,             
Planck binned      ,          ,    2234.6 ,           ,     121.4592 ,       8.6454 ,       8.6454 ,             
Planck binned      ,          ,    2264.6 ,           ,     116.1552 ,       9.2556 ,       9.2556 ,             
Planck binned      ,          ,    2294.6 ,           ,     117.7689 ,       9.9386 ,       9.9386 ,             
Planck binned      ,          ,    2324.6 ,           ,     116.1294 ,      10.6905 ,      10.6905 ,             
Planck binned      ,          ,    2354.6 ,           ,     109.7147 ,      11.5086 ,      11.5086 ,             
Planck binned      ,          ,    2384.6 ,           ,     120.3614 ,      12.3927 ,      12.3927 ,             
Planck binned      ,          ,    2414.6 ,           ,      90.4516 ,      13.3433 ,      13.3433 ,             
Planck binned      ,          ,    2444.6 ,           ,     103.0810 ,      14.3820 ,      14.3820 ,             
Planck binned      ,          ,    2474.6 ,           ,      73.6744 ,      15.5114 ,      15.5114 ,             
Planck binned      ,          ,    2499.0 ,           ,      61.3291 ,      20.9398 ,      20.9398 ,             
