#Measurements of the EE power spectrum, power is l(l+1) C_l / 2pi in uK^2
#
   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
Planck_2018 binned ,          ,    1064.6 ,           ,      31.6980 ,       1.4530 ,       1.4530 ,             
Planck_2018 binned ,          ,    1094.6 ,           ,      21.5900 ,       1.5120 ,       1.5120 ,             
Planck_2018 binned ,          ,    1124.6 ,           ,      15.3430 ,       1.5960 ,       1.5960 ,             
Planck_2018 binned ,          ,    1154.6 ,           ,      11.3120 ,       1.7140 ,       1.7140 ,             
Planck_2018 binned ,          ,    1184.6 ,           ,      14.0280 ,       1.8670 ,       1.8670 ,             
Planck_2018 binned ,          ,    1214.6 ,           ,      20.1240 ,       2.0470 ,       2.0470 ,             
Planck_2018 binned ,          ,    1244.6 ,           ,      27.7050 ,       2.2440 ,       2.2440 ,             
Planck_2018 binned ,          ,    1274.6 ,           ,      29.5960 ,       2.4470 ,       2.4470 ,             
Planck_2018 binned ,          ,    1304.6 ,           ,      31.9980 ,       2.6500 ,       2.6500 ,             
Planck_2018 binned ,          ,    1334.6 ,           ,      28.6430 ,       2.8530 ,       2.8530 ,             
Planck_2018 binned ,          ,    1364.6 ,           ,      21.2240 ,       3.0640 ,       3.0640 ,             
Planck_2018 binned ,          ,    1394.6 ,           ,      19.0950 ,       3.2920 ,       3.2920 ,             
Planck_2018 binned ,          ,    1424.6 ,           ,      15.1790 ,       3.5490 ,       3.5490 ,             
Planck_2018 binned ,          ,    1454.6 ,           ,      10.8570 ,       3.8420 ,       3.8420 ,             
Planck_2018 binned ,          ,    1484.6 ,           ,      14.2550 ,       4.1760 ,       4.1760 ,             
Planck_2018 binned ,          ,    1514.6 ,           ,      13.2650 ,       4.5500 ,       4.5500 ,             
Planck_2018 binned ,          ,    1544.6 ,           ,      22.2540 ,       4.9620 ,       4.9620 ,             
Planck_2018 binned ,          ,    1574.6 ,           ,       8.0420 ,       5.4070 ,       5.4070 ,             
Planck_2018 binned ,          ,    1604.6 ,           ,      27.5300 ,       5.8840 ,       5.8840 ,             
Planck_2018 binned ,          ,    1634.6 ,           ,      18.7060 ,       6.3960 ,       6.3960 ,             
Planck_2018 binned ,          ,    1664.6 ,           ,      28.8880 ,       6.9470 ,       6.9470 ,             
Planck_2018 binned ,          ,    1694.6 ,           ,      21.5490 ,       7.5460 ,       7.5460 ,             
Planck_2018 binned ,          ,    1724.6 ,           ,       5.1130 ,       8.2020 ,       8.2020 ,             
Planck_2018 binned ,          ,    1754.6 ,           ,      32.5870 ,       8.9250 ,       8.9250 ,             
Planck_2018 binned ,          ,    1784.6 ,           ,      -4.8160 ,       9.7220 ,       9.7220 ,             
Planck_2018 binned ,          ,    1814.6 ,           ,      28.8330 ,      10.5990 ,      10.5990 ,             
Planck_2018 binned ,          ,    1844.6 ,           ,       0.3570 ,      11.5620 ,      11.5620 ,             
Planck_2018 binned ,          ,    1874.6 ,           ,      13.2240 ,      12.6140 ,      12.6140 ,             
Planck_2018 binned ,          ,    1904.6 ,           ,       5.0510 ,      13.7620 ,      13.7620 ,             
Planck_2018 binned ,          ,    1934.6 ,           ,      18.8580 ,      15.0140 ,      15.0140 ,             
Planck_2018 binned ,          ,    1964.6 ,           ,       2.2680 ,      16.3780 ,      16.3780 ,             
Planck_2018 binned ,          ,    1988.0 ,           ,       4.1080 ,      23.6600 ,      23.6600 ,             
