# Fiducial parameters, 100*theta_s = 1.0417, omega_b = 0.02217, omega_cdm = 0.1196, ln10^{10}A_s = 3.046, n_s = 0.963, tau_reio = 0.0573
   30  7.1506685  0.00014610714  0.0128285  9.6499596e-10  8.5163588e-06  
   31  6.8073451  0.00015333508  0.012171922  9.0618363e-10  7.7745477e-06  
   32  6.4934958  0.00016067172  0.011529484  8.5224436e-10  7.1093335e-06  
   33  6.2056365  0.00016809189  0.010903506  8.0279313e-10  6.5165499e-06  
   34  5.9405404  0.00017557211  0.01029486  7.57141e-10  5.9900695e-06  
   35  5.6960116  0.0001830956  0.0096986166  7.1504907e-10  5.5221164e-06  
   36  5.4701119  0.00019064731  0.0091083933  6.7617607e-10  5.1030156e-06  
   37  5.2609663  0.0001982136  0.0085190689  6.4001892e-10  4.7229791e-06  
   38  5.0669539  0.00020578671  0.0079305593  6.0647751e-10  4.3781368e-06  
   39  4.8865171  0.00021336032  0.00734404  5.7544203e-10  4.065607e-06  
   40  4.7180982  0.00022092811  0.0067606862  5.466168e-10  3.7817195e-06  
   41  4.5602922  0.00022848324  0.0061818497  5.1962264e-10  3.5226086e-06  
   42  4.4123038  0.00023601671  0.0056095881  4.9437835e-10  3.2861074e-06  
   43  4.2734905  0.00024351903  0.0050461354  4.7081484e-10  3.0701687e-06  
   44  4.1432094  0.00025098068  0.0044937254  4.487615e-10  2.8722995e-06  
   45  4.0208246  0.00025839351  0.0039538852  4.2800544e-10  2.6899938e-06  
   46  3.9057257  0.00026575471  0.0034253135  4.0851284e-10  2.5221056e-06  
   47  3.7973092  0.00027306286  0.0029060019  3.902587e-10  2.3676849e-06  
   48  3.6949713  0.0002803165  0.0023939422  3.7316301e-10  2.2255642e-06  
   49  3.5981085  0.0002875142  0.0018871261  3.5708366e-10  2.0943588e-06  
   50  3.5061778  0.00029465323  0.0013840732  3.4186072e-10  1.9726883e-06  
   51  3.4188803  0.00030172578  0.00088541559  3.2746488e-10  1.8598771e-06  
   52  3.3359777  0.00030872277  0.00039231299  3.138817e-10  1.7553506e-06  
   53  3.2572319  0.00031563509  -9.4074657e-05  3.0106613e-10  1.6584223e-06  
   54  3.1824046  0.00032245366  -0.00057258746  2.8894119e-10  1.5682937e-06  
   55  3.111261  0.00032917083  -0.0010423464  2.7742086e-10  1.4841821e-06  
   56  3.0435792  0.00033578476  -0.0015035958  2.6649108e-10  1.4057228e-06  
   57  2.9791409  0.00034229503  -0.0019568609  2.561448e-10  1.3326173e-06  
   58  2.9177274  0.00034870124  -0.002402667  2.4635821e-10  1.2645108e-06  
   59  2.8591204  0.00035500299  -0.0028415392  2.3708919e-10  1.2009916e-06  
   60  2.8031013  0.00036119987  -0.0032740028  2.2827688e-10  1.1415914e-06  
   61  2.7494702  0.00036729022  -0.0037004316  2.1985785e-10  1.0858584e-06  
   62  2.6981012  0.00037326745  -0.0041205936  2.1182323e-10  1.0335862e-06  
   63  2.6488871  0.0003791237  -0.0045341053  2.0417295e-10  9.8461107e-07  
   64  2.6017205  0.0003848511  -0.0049405833  1.9689854e-10  9.3874102e-07  
   65  2.5564941  0.00039044181  -0.0053396441  1.8998229e-10  8.957561e-07  
   66  2.5131006  0.00039588797  -0.0057309044  1.8339681e-10  8.5540817e-07  
   67  2.4714327  0.00040118173  -0.0061139806  1.7710496e-10  8.1742099e-07  
   68  2.4313897  0.00040631663  -0.0064885817  1.7106926e-10  7.8153372e-07  
   69  2.3928967  0.00041129175  -0.0068547862  1.6528504e-10  7.4763658e-07  
   70  2.3558857  0.00041610758  -0.0072127648  1.5975316e-10  7.1564919e-07  
   71  2.3202885  0.00042076461  -0.0075626885  1.544704e-10  6.8547829e-07  
   72  2.2860367  0.00042526332  -0.0079047279  1.4942884e-10  6.5701777e-07  
   73  2.2530624  0.00042960419  -0.0082390541  1.4461567e-10  6.3014864e-07  
   74  2.2212971  0.00043378771  -0.0085658377  1.4001329e-10  6.0473902e-07  
   75  2.1906729  0.00043781436  -0.0088852496  1.3559875e-10  5.8064421e-07  
   76  2.1611256  0.00044168406  -0.0091974128  1.3134949e-10  5.5772904e-07  
   77  2.1326077  0.00044539445  -0.0095022593  1.2726199e-10  5.359377e-07  
   78  2.105076  0.00044894259  -0.0097996731  1.2333602e-10  5.1523037e-07  
