# Generated from noise_cmb_s4.dat
#   TT source: SO_LAT_Nell_T_atmv1_baseline_fsky0p4_ILC_CMB.txt
#   EE source: SO_LAT_Nell_P_baseline_fsky0p4_ILC_CMB_E.txt
#   nlkk source: nlkk_v3_1_0_deproj0_SENS1_fsky0p4_it_lT30-3000_lP30-5000.dat
#   fill missing values with 1000000
2 1.000000e+06 1.000000e+06 3.300142e-08 1.091400e+03 2.953500e+00 3.606800e-02 4.225500e-09 3.370900e-10 4.000000e-01
3 1.000000e+06 1.000000e+06 3.021966e-08 5.171200e+02 1.691400e+00 2.453500e-02 1.845400e-09 1.419500e-10 4.000000e-01
4 1.000000e+06 1.000000e+06 2.923749e-08 2.937300e+02 9.665200e-01 1.358800e-02 1.054500e-09 7.567100e-11 4.000000e-01
5 1.000000e+06 1.000000e+06 2.877353e-08 1.874500e+02 5.584600e-01 6.471600e-03 6.868900e-10 4.594000e-11 4.000000e-01
6 1.000000e+06 1.000000e+06 2.851848e-08 1.297200e+02 3.263900e-01 2.736300e-03 4.842000e-10 3.030000e-11 4.000000e-01
7 1.000000e+06 1.000000e+06 2.836487e-08 9.524700e+01 1.942800e-01 1.114200e-03 3.603800e-10 2.118000e-11 4.000000e-01
8 1.000000e+06 1.000000e+06 2.826691e-08 7.312800e+01 1.194200e-01 5.227200e-04 2.788100e-10 1.545900e-11 4.000000e-01
9 1.000000e+06 1.000000e+06 2.820227e-08 5.812500e+01 7.750800e-02 3.207100e-04 2.223200e-10 1.167000e-11 4.000000e-01
10 1.000000e+06 8.428770e-04 2.815897e-08 4.747600e+01 5.441100e-02 2.280100e-04 1.814300e-10 9.051200e-12 4.000000e-01
11 1.000000e+06 7.480790e-04 2.813013e-08 3.965100e+01 4.184900e-02 1.632500e-04 1.505700e-10 7.211400e-12 4.000000e-01
12 1.000000e+06 6.725450e-04 2.811152e-08 3.372600e+01 3.496400e-02 1.173100e-04 1.267600e-10 5.812900e-12 4.000000e-01
13 1.000000e+06 6.111420e-04 2.810046e-08 2.912200e+01 3.097300e-02 9.077300e-05 1.081600e-10 4.770800e-12 4.000000e-01
14 1.000000e+06 5.603750e-04 2.809517e-08 2.546500e+01 2.838300e-02 7.839200e-05 9.342700e-11 3.952600e-12 4.000000e-01
15 1.000000e+06 5.177890e-04 2.809443e-08 2.251500e+01 2.644200e-02 7.284000e-05 8.162700e-11 3.317900e-12 4.000000e-01
16 1.000000e+06 4.816150e-04 2.809737e-08 2.009900e+01 2.479700e-02 6.975500e-05 7.205600e-11 2.815400e-12 4.000000e-01
17 1.000000e+06 4.505480e-04 2.810339e-08 1.808700e+01 2.331300e-02 6.830200e-05 6.419000e-11 2.410100e-12 4.000000e-01
18 1.000000e+06 4.236070e-04 2.811203e-08 1.639400e+01 2.197600e-02 6.913400e-05 5.763500e-11 2.076400e-12 4.000000e-01
19 1.000000e+06 4.000420e-04 2.812296e-08 1.495600e+01 2.079400e-02 7.219400e-05 5.208700e-11 1.801500e-12 4.000000e-01
20 1.000000e+06 3.792710e-04 2.813590e-08 1.372100e+01 1.976800e-02 7.709300e-05 4.731000e-11 1.573500e-12 4.000000e-01
21 1.000000e+06 3.608340e-04 2.815067e-08 1.265300e+01 1.889000e-02 8.310500e-05 4.313100e-11 1.383500e-12 4.000000e-01
22 1.000000e+06 3.443670e-04 2.816711e-08 1.172300e+01 1.813900e-02 8.955200e-05 3.945300e-11 1.222300e-12 4.000000e-01
23 1.000000e+06 3.295740e-04 2.818509e-08 1.090700e+01 1.747300e-02 9.626900e-05 3.620300e-11 1.084600e-12 4.000000e-01
24 1.000000e+06 3.162140e-04 2.820453e-08 1.018500e+01 1.684800e-02 1.032000e-04 3.332300e-11 9.660700e-13 4.000000e-01
25 1.000000e+06 3.040920e-04 2.822533e-08 9.543700e+00 1.623800e-02 1.102300e-04 3.076200e-11 8.643700e-13 4.000000e-01
