# accuracy_goal: 1e-06
#                  sigma                     qmin                     qmax                optimal_a              min_samples            best_integral      best_integral_qmin0          finite_integral            full_integral      rel_err_best-finite        rel_err_best-full   rel_err_bestqmin0_best   rel_err_bestqmin0_full
6.600000000000000311e-01 4.902121261997013230e-03 8.536082372278337971e+01 6.000000000000000711e+01 9.000000000000000000e+00 5.725253772989475493e-02 6.894448477914176532e-02 5.725244112687889048e-02 5.725249717807307653e-02 1.687316976587328291e-06 7.082978678163677618e-07 2.042170969679478476e-01 2.042179499123500386e-01
6.700000000000000400e-01 4.365994848083255310e-03 9.332697627699032239e+01 3.600000000000000089e+00 1.300000000000000000e+01 6.078368559314629993e-02 6.079254581011691444e-02 6.078361690396213296e-02 6.078367564946510898e-02 1.130060823387636651e-06 1.635913110667031982e-07 1.457663661581842037e-04 1.459299813153618606e-04
6.800000000000000488e-01 3.885054446800721619e-03 1.020862741361494415e+02 6.000000000000000000e+00 1.300000000000000000e+01 6.459072056956655095e-02 6.459331546493621290e-02 6.459069144270128404e-02 6.459075314120857336e-02 4.509452463865121565e-07 5.042771672163073927e-07 4.017442980632422408e-05 3.967013238006026048e-05
6.900000000000000577e-01 3.454042323531865410e-03 1.117215981405905723e+02 5.099999999999999645e+00 1.300000000000000000e+01 6.869811306408393770e-02 6.869338520624176936e-02 6.869801568870044506e-02 6.869808062340329591e-02 1.417440991802236882e-06 4.722210627633764433e-07 6.882078169684268071e-05 6.834859313270197421e-05
7.000000000000000666e-01 3.068151149825822620e-03 1.223248401150985956e+02 6.099999999999999645e+00 1.300000000000000000e+01 7.313233911345221050e-02 7.313828295226122711e-02 7.313231420812278671e-02 7.313238268962571342e-02 3.405516384030865433e-07 5.958533265333554446e-07 8.127510867382171521e-05 8.067920691924449286e-05
7.100000000000000755e-01 2.749920741924129219e-03 1.326857020134968081e+02 5.200000000000000178e+00 1.300000000000000000e+01 7.792301811155888380e-02 7.791952994099439478e-02 7.792293033072210384e-02 7.792300784639596967e-02 1.126508415525432181e-06 1.317346852725565448e-07 4.476431546189813383e-05 4.463258667363858624e-05
7.199999999999999734e-01 2.438645109545706843e-03 1.454035058946953427e+02 6.200000000000000178e+00 1.300000000000000000e+01 8.310216007816449701e-02 8.311042256454059807e-02 8.310212498309384188e-02 8.310220703672227538e-02 4.223125541287070546e-07 5.650699235654984148e-07 9.942565113024133614e-05 9.886052502423075465e-05
7.299999999999999822e-01 2.160731442212761571e-03 1.594146204556371913e+02 4.370000000000000284e+01 9.000000000000000000e+00 8.870540183530757627e-02 6.107058508720730056e-02 8.870535674268839599e-02 8.870544377461123120e-02 5.083415572194713663e-07 4.727928960198607625e-07 3.115347676278801270e-01 3.115350931293511261e-01
7.399999999999999911e-01 1.912839402589744907e-03 1.748566582561660994e+02 6.299999999999999822e+00 1.300000000000000000e+01 9.477167648415228685e-02 9.478176840027453809e-02 9.477164719659940395e-02 9.477173969293076206e-02 3.090328568642413668e-07 6.669580898273295193e-07 1.064866265601918828e-04 1.058195974482475157e-04
7.500000000000000000e-01 1.691934283786100061e-03 1.918824333010521173e+02 5.400000000000000355e+00 1.300000000000000000e+01 1.013440585478133232e-01 1.013452858483432223e-01 1.013439612904943055e-01 1.013440597887026173e-01 9.596755226391202764e-07 1.224432193345582647e-08 1.211023662842578144e-05 1.209799215821068904e-05
7.600000000000000089e-01 1.495262495202685305e-03 2.106616949915976988e+02 6.400000000000000355e+00 1.300000000000000000e+01 1.084696569749776518e-01 1.084803062004584262e-01 1.084696371003142923e-01 1.084697421955268387e-01 1.832278957578598010e-07 7.856619501620749784e-07 9.817699970445213111e-05 9.739126062035700438e-05
7.700000000000000178e-01 1.320328606214156300e-03 2.313830654959339199e+02 4.700000000000000178e+00 1.300000000000000000e+01 1.162009798419839646e-01 1.161864253439838512e-01 1.162008655791229583e-01 1.162009779312576097e-01 9.833219437460992842e-07 1.644328979782654668e-08 1.252527992440793253e-04 1.252363580138495555e-04
7.800000000000000266e-01 1.164873898131445163e-03 2.542562050067036239e+02 6.500000000000000000e+00 1.300000000000000000e+01 1.245952320473527886e-01 1.246049974756044953e-01 1.245952264285504069e-01 1.245953467703927731e-01 4.509644986217647672e-08 9.207650442669681362e-07 7.837722271744240103e-05 7.745638550616848993e-05
7.900000000000000355e-01 1.026856369645810525e-03 2.795142323652510754e+02 5.599999999999999645e+00 1.300000000000000000e+01 1.337163811743241337e-01 1.337244056154898719e-01 1.337162870401382153e-01 1.337164161865000700e-01 7.039844434968388796e-07 2.618390242184885760e-07 6.001090588352705552e-05 5.974905114611152275e-05
8.000000000000000444e-01 9.044321369444606983e-04 3.074164319199415445e+02 7.799999999999999822e+00 1.300000000000000000e+01 1.436345102509804794e-01 1.436163287977606784e-01 1.436342723555558698e-01 1.436344112136713758e-01 1.656258083173359497e-06 6.895096256309160917e-07 1.265813709256332124e-04 1.258919485790759561e-04
8.100000000000000533e-01 7.959381667703972372e-04 3.382512813011805974e+02 5.700000000000000178e+00 1.300000000000000000e+01 1.544268967061949716e-01 1.544387628654599054e-01 1.544268145213519849e-01 1.544269641026924655e-01 5.321928270122203436e-07 4.364295956059186770e-07 7.683997747820971625e-05 7.640351434736349491e-05
8.200000000000000622e-01 6.998762787466777501e-04 3.723398390917761844e+02 7.900000000000000355e+00 1.300000000000000000e+01 1.661800932067258318e-01 1.661590302468690383e-01 1.661797923810822697e-01 1.661799538147973598e-01 1.810242023123373653e-06 8.388011024925328182e-07 1.267477918103672983e-04 1.259090970240622635e-04
8.300000000000000711e-01 6.148983521773704981e-04 4.100395362103215575e+02 5.799999999999999822e+00 1.300000000000000000e+01 1.789883303815346660e-01 1.790041203854897955e-01 1.789882721753528472e-01 1.789884467235793308e-01 3.251955064509416307e-07 6.499975098643748752e-07 8.821806383394536024e-05 8.756800898255917532e-05
8.400000000000000799e-01 5.397926721623467084e-04 4.517484202771556170e+02 8.099999999999999645e+00 1.300000000000000000e+01 1.929576725736088794e-01 1.929343101460298526e-01 1.929575623315331057e-01 1.929577514068493149e-01 5.713280912218878823e-07 4.085518195604472075e-07 1.210754009800491882e-04 1.214839033340342587e-04
8.499999999999999778e-01 4.734713501176825070e-04 4.979099083762267242e+02 5.900000000000000355e+00 1.300000000000000000e+01 2.082044133081025761e-01 2.082240351230335018e-01 2.082043969460422583e-01 2.082046021313903872e-01 7.858652630656565719e-08 9.069121713839608289e-07 9.424303077518928048e-05 9.333603313365364631e-05
8.599999999999999867e-01 4.149587545832197953e-04 5.490181105513216835e+02 4.399999999999999467e+00 1.300000000000000000e+01 2.248586577398803965e-01 2.248159744170642182e-01 2.248582645235747413e-01 2.248584875950245532e-01 1.748729611910826844e-06 7.566752656886972367e-07 1.898229013959289808e-04 1.890663697645346333e-04
